0.000150086,4.99997,3.76
0.000143785,4.99999,3.78
0.000131859,5,3.8
0.000116033,5.00002,3.82
9.78589e-05,5.00003,3.84
7.86812e-05,5.00003,3.86
5.96153e-05,5.00003,3.88
4.15426e-05,5.00004,3.9
2.51177e-05,5.00003,3.92
1.07838e-05,5.00003,3.94
-1.2045e-06,5.00003,3.96
-1.07547e-05,5.00003,3.98
-1.79076e-05,5.00002,4
-2.28084e-05,5.00002,4.02
-2.56784e-05,5.00001,4.04
-2.67895e-05,5.00001,4.06
-2.64409e-05,5.00001,4.08
-2.494e-05,5,4.1
-2.25861e-05,5,4.12
-1.96582e-05,5,4.14
-1.6406e-05,5,4.16
-1.30443e-05,5,4.18
-9.75004e-06,4.99999,4.2
-6.66164e-06,4.99999,4.22
-3.88029e-06,4.99999,4.24
-1.4728e-06,4.99999,4.26
5.24632e-07,5,4.28
2.10192e-06,5,4.3
3.27037e-06,5,4.32
4.05783e-06,5,4.34
4.50412e-06,5,4.36
4.65677e-06,5,4.38
4.56733e-06,5,4.4
4.28812e-06,5,4.42
3.86976e-06,5,4.44
3.35911e-06,5,4.46
2.79789e-06,5,4.48
2.2218e-06,5,4.5
1.6601e-06,5,4.52
1.13551e-06,5,4.54
6.64536e-07,5,4.56
2.57903e-07,5,4.58
-7.87404e-08,5,4.6
-3.44079e-07,5,4.62
-5.4032e-07,5,4.64
-6.72386e-07,5,4.66
-7.47148e-07,5,4.68
-7.72714e-07,5,4.7
-7.57813e-07,5,4.72
-7.11272e-07,5,4.74
-6.4159e-07,5,4.76
-5.56615e-07,5,4.78
-4.63316e-07,5,4.8
-3.6764e-07,5,4.82
-2.74448e-07,5,4.84
-1.87506e-07,5,4.86
-1.09536e-07,5,4.88
-4.23011e-08,5,4.9
1.3283e-08,5,4.92
5.70192e-08,5,4.94
8.92931e-08,5,4.96
1.10938e-07,5,4.98
1.23107e-07,5,5
1.27154e-07,5,5.02
1.24534e-07,5,5.04
1.16714e-07,5,5.06
1.05104e-07,5,5.08
9.10016e-08,5,5.1
7.55595e-08,5,5.12
5.9758e-08,5,5.14
4.43963e-08,5,5.16
3.00923e-08,5,5.18
1.72904e-08,5,5.2
6.27635e-09,5,5.22
-2.80397e-09,5,5.24
-9.92297e-09,5,5.26
-1.51488e-08,5,5.28
-1.86231e-08,5,5.3
-2.05391e-08,5,5.32
-2.11232e-08,5,5.34
-2.0617e-08,5,5.36
-1.92636e-08,5,5.38
-1.72963e-08,5,5.4
-1.49293e-08,5,5.42
-1.23521e-08,5,5.44
-9.7256e-09,5,5.46
-7.18068e-09,5,5.48
-4.81795e-09,5,5.5
-2.70941e-09,5,5.52
-9.00839e-10,5,5.54
5.84994e-10,5,5.56
1.74476e-09,5,5.58
2.59079e-09,5,5.6
3.14738e-09,5,5.62
3.44721e-09,5,5.64
3.5282e-09,5,5.66
3.43071e-09,5,5.68
3.19516e-09,5,5.7
2.86017e-09,5,5.72
2.46116e-09,5,5.74
2.02937e-09,5,5.76
1.59125e-09,5,5.78
1.1682e-09,5,5.8
7.76636e-10,5,5.82
4.28212e-10,5,5.84
1.30254e-10,5,5.86
-1.13708e-10,5,5.88
-3.03333e-10,5,5.9
-4.4085e-10,5,5.92
-5.30431e-10,5,5.94
-5.77613e-10,5,5.96
-5.88763e-10,5,5.98
-5.70625e-10,5,6
-5.2993e-10,5,6.02
-4.73088e-10,5,6.04
-4.05963e-10,5,6.06
-3.33708e-10,5,6.08
-2.60677e-10,5,6.1
-1.90379e-10,5,6.12
-1.25495e-10,5,6.14
-6.79137e-11,5,6.16
-1.88104e-11,5,6.18
2.12668e-11,5,6.2
5.22948e-11,5,6.22
7.46707e-11,5,6.24
8.91092e-11,5,6.26
9.65459e-11,5,6.28
9.80492e-11,5,6.3
9.47454e-11,5,6.32
8.77544e-11,5,6.34
7.81401e-11,5,6.36
6.68727e-11,5,6.38
5.48028e-11,5,6.4
4.26465e-11,5,6.42
3.09799e-11,5,6.44
2.02402e-11,5,6.46
1.07343e-11,5,6.48
2.65017e-12,5,6.5
-3.92702e-12,5,6.52
-8.99869e-12,5,6.54
-1.26351e-11,5,6.56
-1.49583e-11,5,6.58
-1.61261e-11,5,6.6
-1.63176e-11,5,6.62
-1.57207e-11,5,6.64
-1.45216e-11,5,6.66
-1.28968e-11,5,6.68
-1.10067e-11,5,6.7
-8.99154e-12,5,6.72
-6.96919e-12,5,6.74
-5.03401e-12,5,6.76
-3.25735e-12,5,6.78
-1.68891e-12,5,6.8
-3.5882e-13,5,6.82
7.19822e-13,5,6.84
1.54809e-12,5,6.86
2.13836e-12,5,6.88
2.51144e-12,5,6.9
2.69394e-12,5,6.92
2.71586e-12,5,6.94
2.60855e-12,5,6.96
2.40296e-12,5,6.98
2.12834e-12,5,7
1.81122e-12,5,7.02
1.47472e-12,5,7.04
1.13822e-12,5,7.06
8.17189e-13,5,7.08
5.2326e-13,5,7.1
2.6448e-13,5,7.12
4.56639e-14,5,7.14
-1.31179e-13,5,7.16
-2.66369e-13,5,7.18
-3.62084e-13,5,7.2
-4.21869e-13,5,7.22
-4.5021e-13,5,7.24
-4.52141e-13,5,7.26
-4.32896e-13,5,7.28
-3.97626e-13,5,7.3
-3.51182e-13,5,7.32
-2.97951e-13,5,7.34
-2.41746e-13,5,7.36
-1.85751e-13,5,7.38
-1.32492e-13,5,7.4
-8.38636e-14,5,7.42
-4.1171e-14,5,7.44
-5.18327e-15,5,7.46
2.37913e-14,5,7.48
4.58325e-14,5,7.5
6.133e-14,5,7.52
7.08921e-14,5,7.54
7.52719e-14,5,7.56
7.53181e-14,5,7.58
7.19084e-14,5,7.6
6.58971e-14,5,7.62
5.80847e-14,5,7.64
4.91933e-14,5,7.66
3.98497e-14,5,7.68
3.05727e-14,5,7.7
2.17645e-14,5,7.72
1.37321e-14,5,7.74
6.68755e-15,5,7.76
7.57648e-16,5,7.78
-4.00712e-15,5,7.8
-7.62517e-15,5,7.82
-1.01594e-14,5,7.84
-1.17154e-14,5,7.86
-1.2422e-14,5,7.88
-1.24245e-14,5,7.9
-1.18708e-14,5,7.92
-1.08908e-14,5,7.94
-9.60785e-15,5,7.96
-8.13892e-15,5,7.98
-6.58574e-15,5,8
-5.03721e-15,5,8.02
-3.56236e-15,5,8.04
-2.214e-15,5,8.06
-1.03177e-15,5,8.08
-3.57538e-17,5,8.1
7.6949e-16,5,8.12
1.3826e-15,5,8.14
1.81353e-15,5,8.16
2.08997e-15,5,8.18
2.23539e-15,5,8.2
2.26957e-15,5,8.22
2.21803e-15,5,8.24
2.1016e-15,5,8.26
1.93718e-15,5,8.28
1.74731e-15,5,8.3
1.54989e-15,5,8.32
1.35896e-15,5,8.34
1.18538e-15,5,8.36
1.02846e-15,5,8.38
8.9625e-16,5,8.4
7.85816e-16,5,8.42
6.94491e-16,5,8.44
6.19871e-16,5,8.46
5.5982e-16,5,8.48
5.12453e-16,5,8.5
4.76121e-16,5,8.52
4.49395e-16,5,8.54
4.31043e-16,5,8.56
4.20013e-16,5,8.58
4.15413e-16,5,8.6
4.16489e-16,5,8.62
4.22611e-16,5,8.64
4.33254e-16,5,8.66
4.47987e-16,5,8.68
4.66455e-16,5,8.7
4.8837e-16,5,8.72
5.13502e-16,5,8.74
5.41665e-16,5,8.76
5.72714e-16,5,8.78
5.97534e-16,5,8.8
6.1791e-16,5,8.82
6.35326e-16,5,8.84
6.51004e-16,5,8.86
6.65943e-16,5,8.88
6.80958e-16,5,8.9
6.96701e-16,5,8.92
7.13693e-16,5,8.94
7.32345e-16,5,8.96
7.52976e-16,5,8.98
7.66831e-16,5,9
7.75968e-16,5,9.02
7.82071e-16,5,9.04
7.86508e-16,5,9.06
7.90383e-16,5,9.08
7.85574e-16,5,9.1
7.74648e-16,5,9.12
7.59695e-16,5,9.14
7.42402e-16,5,9.16
7.24119e-16,5,9.18
7.05913e-16,5,9.2
6.88622e-16,5,9.22
6.7289e-16,5,9.24
6.59207e-16,5,9.26
6.47937e-16,5,9.28
6.39345e-16,5,9.3
6.33614e-16,5,9.32
6.30867e-16,5,9.34
6.31178e-16,5,9.36
6.34585e-16,5,9.38
6.41098e-16,5,9.4
6.50711e-16,5,9.42
6.63398e-16,5,9.44
6.7913e-16,5,9.46
6.97869e-16,5,9.48
7.10575e-16,5,9.5
7.1908e-16,5,9.52
7.24892e-16,5,9.54
7.29243e-16,5,9.56
7.33135e-16,5,9.58
7.37369e-16,5,9.6
7.42585e-16,5,9.62
7.49286e-16,5,9.64
7.57862e-16,5,9.66
7.59612e-16,5,9.68
7.56632e-16,5,9.7
7.50637e-16,5,9.72
7.43014e-16,5,9.74
7.3488e-16,5,9.76
7.27121e-16,5,9.78
7.20435e-16,5,9.8
7.15364e-16,5,9.82
7.12324e-16,5,9.84
7.11625e-16,5,9.86
7.13495e-16,5,9.88
7.18097e-16,5,9.9
7.25542e-16,5,9.92
7.359e-16,5,9.94
7.49209e-16,5,9.96
7.56486e-16,5,9.98
